,District(EN),District(TH),Code,Population,Number of SubDist,Latitude,Longitude
0,Bang Kapi,บางกะปิ,06,148465,2,13.765833,100.647778
1,Bang Khae,บางแค,40,191781,4,13.696111,100.409444
2,Bang Khen,บางเขน,05,189539,2,13.873889,100.596389
3,Bang Kho Laem,บางคอแหลม,31,94956,3,13.693333,100.5025
4,Bang Khun Thian,บางขุนเทียน,21,165491,2,13.660833,100.435833
5,Bang Na,บางนา,47,95912,2,13.680081,100.5918
6,Bang Phlat,บางพลัด,25,99273,4,13.793889,100.505
7,Bang Rak,บางรัก,04,45875,5,13.730833,100.524167
8,Bang Sue,บางซื่อ,29,132234,2,13.809722,100.537222
9,Bangkok Noi,บางกอกน้อย,20,117793,5,13.770867,100.467933
10,Bangkok Yai,บางกอกใหญ่,16,72321,2,13.722778,100.476389
11,Bueng Kum,บึงกุ่ม,27,145830,3,13.785278,100.669167
12,Chatuchak,จตุจักร,30,160906,5,13.828611,100.559722
13,Chom Thong,จอมทอง,35,158005,4,13.677222,100.484722
14,Din Daeng,ดินแดง,26,130220,2,13.769722,100.552778
15,Don Mueang,ดอนเมือง,36,166261,3,13.913611,100.589722
16,Dusit,ดุสิต,02,107655,5,13.776944,100.520556
17,Huai Khwang,ห้วยขวาง,17,78175,3,13.776667,100.579444
18,Khlong Sam Wa,คลองสามวา,46,169489,5,13.859722,100.704167
19,Khlong San,คลองสาน,18,76446,4,13.730278,100.509722
20,Khlong Toei,คลองเตย,33,109041,3,13.708056,100.583889
21,Lak Si,หลักสี่,41,109770,2,13.8875,100.578889
22,Lat Krabang,ลาดกระบัง,11,163175,6,13.722317,100.759669
23,Lat Phrao,ลาดพร้าว,38,122182,2,13.803611,100.6075
24,Min Buri,มีนบุรี,10,137251,2,13.813889,100.748056
25,Nong Chok,หนองจอก,03,157138,8,13.855556,100.8625
26,Nong Khaem,หนองแขม,23,150218,2,13.704722,100.348889
27,Pathum Wan,ปทุมวัน,07,53263,4,13.744942,100.5222
28,Phasi Charoen,ภาษีเจริญ,22,129827,7,13.714722,100.437222
29,Phaya Thai,พญาไท,14,72952,2,13.78,100.542778
30,Phra Khanong,พระโขนง,09,93482,2,13.702222,100.601667
31,Phra Nakhon,พระนคร,01,57876,12,13.764444,100.499167
32,Pom Prap Sattru Phai,ป้อมปราบศัตรูพ่าย,08,51006,5,13.758056,100.513056
33,Prawet,ประเวศ,32,160671,3,13.716944,100.694444
34,Rat Burana,ราษฎร์บูรณะ,24,86695,2,13.682222,100.505556
35,Ratchathewi,ราชเทวี,37,73035,4,13.758889,100.534444
36,Sai Mai,สายไหม,42,188123,3,13.919167,100.645833
37,Samphanthawong,สัมพันธวงศ์,13,27452,3,13.731389,100.514167
38,Saphan Sung,สะพานสูง,44,89825,3,13.77,100.684722
39,Sathon,สาทร,28,84916,3,13.708056,100.526389
40,Suan Luang,สวนหลวง,34,115658,3,13.730278,100.651389
41,Taling Chan,ตลิ่งชัน,19,106604,6,13.776944,100.456667
42,Thon Buri,ธนบุรี,15,119708,7,13.725,100.485833
43,Watthana,วัฒนา,39,81623,3,13.742222,100.585833
44,Yan Nawa,ยานนาวา,12,81521,2,13.696944,100.543056
